CODE,TEXT,CATEGORY
c000001,Theft of school funds or equipment.,grave
c000002,Bringing a weapon to school.,grave
c000003,Possession of prohibited substances on school grounds.,major
c000004,Theft of school funds or equipment.,grave
c000005,Serious threats made to students or faculty.,grave
c000006,Intentional destruction of school property.,major
c000007,Eating in class without permission.,minor
c000008,Physical assault on a teacher or staff member.,grave
c000009,Failure to wear proper school uniform.,minor
c000010,Eating in class without permission.,minor
c000011,Fighting with another student in school premises.,major
c000012,Possession of prohibited substances on school grounds.,major
c000013,Littering in the classroom or hallways.,minor
c000014,Bringing a weapon to school.,grave
c000015,Bringing a weapon to school.,grave
c000016,Fighting with another student in school premises.,major
c000017,Severe vandalism or arson on school property.,grave
c000018,Possession of prohibited substances on school grounds.,major
c000019,Serious threats made to students or faculty.,grave
c000020,Tardiness in attending morning assembly.,minor
c000021,Fighting with another student in school premises.,major
c000022,Intentional destruction of school property.,major
c000023,Eating in class without permission.,minor
c000024,Fighting with another student in school premises.,major
c000025,Bringing a weapon to school.,grave
c000026,Intentional destruction of school property.,major
c000027,Fighting with another student in school premises.,major
c000028,Bringing a weapon to school.,grave
c000029,Serious threats made to students or faculty.,grave
c000030,Physical assault on a teacher or staff member.,grave
c000031,Bullying or harassment of other students.,major
c000032,Intentional destruction of school property.,major
c000033,Bringing a weapon to school.,grave
c000034,Skipping class repeatedly without valid reason.,major
c000035,Serious threats made to students or faculty.,grave
c000036,Not bringing required school materials.,minor
c000037,Physical assault on a teacher or staff member.,grave
c000038,Not bringing required school materials.,minor
c000039,Possession of prohibited substances on school grounds.,major
c000040,Severe vandalism or arson on school property.,grave
c000041,Fighting with another student in school premises.,major
c000042,Not bringing required school materials.,minor
c000043,Littering in the classroom or hallways.,minor
c000044,Eating in class without permission.,minor
c000045,Bullying or harassment of other students.,major
c000046,Failure to wear proper school uniform.,minor
c000047,Failure to wear proper school uniform.,minor
c000048,Physical assault on a teacher or staff member.,grave
c000049,Intentional destruction of school property.,major
c000050,Possession of prohibited substances on school grounds.,major
c000051,Bullying or harassment of other students.,major
c000052,Intentional destruction of school property.,major
c000053,Possession of prohibited substances on school grounds.,major
c000054,Bullying or harassment of other students.,major
c000055,Not bringing required school materials.,minor
c000056,Physical assault on a teacher or staff member.,grave
c000057,Theft of school funds or equipment.,grave
c000058,Intentional destruction of school property.,major
c000059,Possession of prohibited substances on school grounds.,major
c000060,Possession of prohibited substances on school grounds.,major
c000061,Bullying or harassment of other students.,major
c000062,Littering in the classroom or hallways.,minor
c000063,Bullying or harassment of other students.,major
c000064,Tardiness in attending morning assembly.,minor
c000065,Not bringing required school materials.,minor
c000066,Bullying or harassment of other students.,major
c000067,Severe vandalism or arson on school property.,grave
c000068,Intentional destruction of school property.,major
c000069,Not bringing required school materials.,minor
c000070,Eating in class without permission.,minor
c000071,Intentional destruction of school property.,major
c000072,Bullying or harassment of other students.,major
c000073,Bringing a weapon to school.,grave
c000074,Theft of school funds or equipment.,grave
c000075,Littering in the classroom or hallways.,minor
c000076,Possession of prohibited substances on school grounds.,major
c000077,Serious threats made to students or faculty.,grave
c000078,Severe vandalism or arson on school property.,grave
c000079,Fighting with another student in school premises.,major
c000080,Tardiness in attending morning assembly.,minor
c000081,Tardiness in attending morning assembly.,minor
c000082,Fighting with another student in school premises.,major
c000083,Skipping class repeatedly without valid reason.,major
c000084,Tardiness in attending morning assembly.,minor
c000085,Failure to wear proper school uniform.,minor
c000086,Serious threats made to students or faculty.,grave
c000087,Failure to wear proper school uniform.,minor
c000088,Eating in class without permission.,minor
c000089,Severe vandalism or arson on school property.,grave
c000090,Bringing a weapon to school.,grave
c000091,Skipping class repeatedly without valid reason.,major
c000092,Failure to wear proper school uniform.,minor
c000093,Theft of school funds or equipment.,grave
c000094,Theft of school funds or equipment.,grave
c000095,Bullying or harassment of other students.,major
c000096,Bullying or harassment of other students.,major
c000097,Fighting with another student in school premises.,major
c000098,Littering in the classroom or hallways.,minor
c000099,Not bringing required school materials.,minor
c000100,Severe vandalism or arson on school property.,grave
c000101,Skipping class repeatedly without valid reason.,major
c000102,Tardiness in attending morning assembly.,minor
c000103,Tardiness in attending morning assembly.,minor
c000104,Intentional destruction of school property.,major
c000105,Intentional destruction of school property.,major
c000106,Intentional destruction of school property.,major
c000107,Tardiness in attending morning assembly.,minor
c000108,Fighting with another student in school premises.,major
c000109,Physical assault on a teacher or staff member.,grave
c000110,Bringing a weapon to school.,grave
c000111,Possession of prohibited substances on school grounds.,major
c000112,Severe vandalism or arson on school property.,grave
c000113,Eating in class without permission.,minor
c000114,Eating in class without permission.,minor
c000115,Failure to wear proper school uniform.,minor
c000116,Intentional destruction of school property.,major
c000117,Physical assault on a teacher or staff member.,grave
c000118,Physical assault on a teacher or staff member.,grave
c000119,Intentional destruction of school property.,major
c000120,Bullying or harassment of other students.,major
c000121,Theft of school funds or equipment.,grave
c000122,Intentional destruction of school property.,major
c000123,Physical assault on a teacher or staff member.,grave
